,Site Type,sample Type,distancetoirport,distancetolandfil,distancetochemfactory,distancetofirefighting,distancetowaterways,Total PFAS,PFAS_Found
74,0,1,20.297400639804653,5.425898456883077,2.630192433790225,2.630192433790225,57.93907398307498,2.24,1
75,1,1,18.078114827162022,4.701631731826154,1.015037835197266,1.015037835197266,56.98432279464384,2.3,1
76,3,0,17.23677411808815,2.3156183060228237,1.78494058043359,1.78494058043359,51.18632440344338,0.0,0
77,0,1,15.387765040588583,2.1702185692412437,2.058144687719112,2.058144687719112,50.38070173851509,41.0,1
78,4,1,17.12874755216455,2.6188125589112454,4.929394456315716,4.929394456315716,48.16553973731537,222.0,1
79,3,1,13.11559096228114,7.459528533827937,3.0924547287963686,3.0924547287963686,44.84831471163424,3.0,1
80,0,1,8.587608239024666,5.1962875798685335,1.6484395226129005,1.6484395226129005,43.01578418552476,21.0,1
81,1,0,9.861524300801682,0.34113682382577565,2.87406738110235,2.87406738110235,35.30891481473058,19.51,1
82,1,1,12.708652217815926,3.026723268385519,0.8135124742744099,0.8135124742744099,32.285571711152066,7.2,1
83,1,1,4.694026973998425,8.972505355231995,1.399611102525601,1.399611102525601,38.80832276240088,9.2,1
84,4,1,14.280803310545643,3.5308584543782877,5.693122506231974,5.693122506231974,39.22177838292468,79.0,1
85,5,1,14.280803310545643,3.5308584543782877,5.693122506231974,5.693122506231974,39.22177838292468,8.0,1
86,0,3,7.92159696468193,6.015922292131999,1.5631706569708412,1.5631706569708412,43.12558307974757,1.1,1
87,1,3,11.008499882646069,3.407352943818261,1.3208933665997904,1.3208933665997904,3.438598088103671,0.0,0
88,1,0,8.013668203498156,5.419752643887982,2.15050423197561,2.15050423197561,42.53525349386569,1.1,1
89,1,1,13.168683800320773,3.7321020994990515,2.4183761066745166,2.4183761066745166,40.00632216996972,14.0,1
90,1,3,8.189105939602362,6.185316279677969,2.1278225599411558,2.1278225599411558,1.7594163105009422,0.0,0
91,4,1,5.880891435479281,5.889952635323394,3.322865570661534,3.322865570661534,40.633489826636385,79.0,1
92,4,1,12.948891376612927,16.861670387992927,16.244927958762243,16.244927958762243,18.071486540677462,158.0,1
93,1,4,28.355795698067276,3.154776848635471,5.263394380949646,5.263394380949646,31.020594494547243,0.0,0
94,4,4,8.44290368565087,5.32768939988355,5.167870034042635,5.167870034042635,35.92860344754661,79.0,1
95,4,1,15.415898091027062,6.329744262600872,0.48732687104161315,0.48732687104161315,31.23334737581031,79.0,1
96,1,1,12.646457431695788,8.133078425917033,6.7267567967795365,6.7267567967795365,19.285432514777895,11.2,1
97,4,1,2.398229341031367,4.242955224317864,1.1039128347446947,1.1039128347446947,5.8348720657536965,237.0,1
98,1,1,9.647290347667887,4.211090166481476,2.908807069114328,2.908807069114328,30.84452423012747,2.4,1
99,3,3,10.992361403887095,3.6385430003523376,4.80884697765717,4.80884697765717,35.471866354065455,21.3,1
100,1,1,11.778841355435087,1.7650571021587145,0.6935678849009573,0.6935678849009573,27.581190611297142,3.3,1
101,4,1,8.874338377415903,2.705719993056542,1.7160164183302598,1.7160164183302598,18.831744457200536,79.0,1
102,0,0,11.913469364096185,7.029432853763055,1.1707783079468015,1.1707783079468015,20.053680353417377,90.2,1
103,1,0,14.621403639998567,3.542947560870084,1.5649123243045888,1.5649123243045888,24.494720289158955,3.3,1
104,8,6,1.4528653846422235,1.0699190451531924,2.4457711329093668,2.4457711329093668,25.171680870131667,10100.0,1
105,1,4,6.864994672652663,4.40563333247499,5.204082253069213,5.204082253069213,0.6795111546249711,0.0,0
106,3,0,14.400405332054268,4.916006195897215,7.082690292791757,7.082690292791757,18.914910680101105,6.8,1
107,3,0,11.444046580311625,4.873558411158216,5.739773209526602,5.739773209526602,12.104988157052674,2.7,1
108,1,0,1.0344203673622205,6.8271723264196,6.79026333277994,6.79026333277994,14.801239849485919,7.4,1
109,3,0,45.381979979955155,57.68574249604669,65.110514198007,65.110514198007,67.57300457126736,5.44,1
110,1,1,8.738046370813828,0.46531643683298407,0.7954244332366962,0.7954244332366962,16.924515933874012,6.8,1
111,1,1,5.795497197576077,6.0325085098356785,0.9659977544887318,0.9659977544887318,4.055810272431744,20.0,1
112,4,1,15.177154158481217,2.140489877342377,2.485462874211864,2.485462874211864,23.99130668603089,316.0,1
113,1,1,6.320362274997889,6.185619745034629,3.3679388527190155,3.3679388527190155,7.8897929104788185,0.0,0
114,1,1,11.2632114337495,9.232408477341378,3.7399247536057785,3.7399247536057785,6.8264553903327245,1.1,1
115,1,1,8.370741717610949,13.227984828307395,2.344703485606623,2.344703485606623,12.315924177831848,118.0,1
116,4,1,5.632632827991443,3.8600439654879795,6.649776905645364,6.649776905645364,2.1928570990430645,79.0,1
117,1,3,15.686308793042505,13.414059717696057,3.0490213961153496,3.0490213961153496,9.158634732066632,0.0,0
118,1,4,10.948434733350984,3.022957469095602,1.880687914114081,1.880687914114081,4.1444020793787795,3.9,1
119,1,1,8.733807203354312,5.3619667407191915,18.38709970878739,18.38709970878739,2.6533465910964025,1.1,1
120,1,1,6.308188864956934,7.930952094230487,15.870310956447202,15.870310956447202,3.7783717617929344,10.9,1
